t,E_ex,E_an,E_zee,E_tot
0.59250000,7.2855194416780621e4,2.6980775685846578e-20,3.5331814349625577e-16,7.2855194416780621e4
0.59500000,7.2980902148238543e4,2.6807784791631422e-20,-9.4054852732830160e-16,7.2980902148238543e4
0.59750000,7.2876291991461636e4,2.6992959580780164e-20,-6.1877205260744741e-16,7.2876291991461636e4
0.60000000,7.2892524520364212e4,2.6735923525079516e-20,-6.0998138057101889e-16,7.2892524520364212e4
0.60250000,7.2633459561846204e4,2.7073006759084035e-20,1.6066701116340723e-16,7.2633459561846204e4
0.60500000,7.3111956482418012e4,2.6668221642910211e-20,-4.6650827323287138e-16,7.3111956482418012e4
0.60750000,7.3081986168813470e4,2.7162257497717280e-20,1.1010842800134920e-16,7.3081986168813470e4
0.61000000,7.3051440681879278e4,2.6721119723488054e-20,-1.3529396639076173e-16,7.3051440681879278e4
0.61250000,7.2554017300149368e4,2.7115505039877883e-20,-7.4244325472975666e-16,7.2554017300149368e4
0.61500000,7.3079713062431139e4,2.6882865116894184e-20,-3.3784698790537546e-16,7.3079713062431139e4
0.61750000,7.3105472623709109e4,2.6859054470202293e-20,-9.8258707078605334e-16,7.3105472623709109e4
0.62000000,7.2762282156488567e4,2.7007707313954198e-20,-4.2676361193964712e-18,7.2762282156488567e4
0.62250000,7.2950878819435718e4,2.6941238437476200e-20,-1.6302013044532154e-15,7.2950878819435718e4
0.62500000,7.2764540534750267e4,2.7118772532500708e-20,-2.0138021411295758e-16,7.2764540534750267e4
0.62750000,7.3169591952632720e4,2.6865874285875170e-20,8.5542743515606000e-16,7.3169591952632720e4
0.63000000,7.2973076685924025e4,2.6955062322153499e-20,-9.8647650616204797e-16,7.2973076685924025e4
0.63250000,7.3219743073062273e4,2.6944876067780392e-20,-7.4213988897906439e-16,7.3219743073062273e4
0.63500000,7.3002722285715616e4,2.6882231410914154e-20,-3.1913186831109325e-16,7.3002722285715616e4
0.63750000,7.2793398899291336e4,2.6849068935882437e-20,-1.1727140296437561e-15,7.2793398899291336e4
0.64000000,7.2807542310925885e4,2.7052708061826101e-20,-4.5479673531831081e-16,7.2807542310925885e4
0.64250000,7.3190000698562872e4,2.7032431057701682e-20,-9.9090993566973724e-17,7.3190000698562872e4
0.64500000,7.2742252596139617e4,2.7045297130649934e-20,4.2855161598505212e-17,7.2742252596139617e4
0.64750000,7.3061383900934845e4,2.7122272961523349e-20,-5.7489632248438736e-16,7.3061383900934845e4
