t,mx_avg,my_avg,mz_avg
0.70750000,0.00113322,-0.00103524,-0.00203093
0.71000000,-0.00009170,-0.00025400,0.00229889
0.71250000,-0.00084176,-0.00143301,-0.00087313
0.71500000,0.00164868,0.00077076,0.00170840
0.71750000,0.00167004,-0.00007822,-0.00240835
0.72000000,-0.00069051,-0.00006057,0.00407427
0.72250000,0.00019386,0.00000572,-0.00053572
0.72500000,0.00344193,-0.00041559,0.00120931
0.72750000,0.00032485,0.00041513,0.00008921
0.73000000,0.00351123,0.00342337,0.00351151
0.73250000,-0.00175075,-0.00374530,-0.00301084
0.73500000,0.00144165,0.00091145,0.00040179
0.73750000,0.00019380,0.00485538,0.00001182
0.74000000,0.00388345,-0.00150244,-0.00276519
0.74250000,-0.00375872,0.00421654,0.00271595
0.74500000,0.00558014,-0.00227871,-0.00053975
0.74750000,0.00032487,0.00056526,-0.00186351
0.75000000,0.00202108,0.00036046,-0.00229539
0.75250000,-0.00048585,0.00122689,-0.00164558
0.75500000,0.00144297,-0.00132041,0.00109811
0.75750000,0.00255715,0.00066977,0.00187130
0.76000000,0.00104917,-0.00109120,-0.00045042
0.76250000,-0.00010077,0.00118331,-0.00015422
0.76500000,0.00498883,-0.00063352,0.00040700
0.76750000,0.00200212,-0.00165996,-0.00301572
0.77000000,0.00226813,-0.00083897,0.00085141
0.77250000,-0.00372385,0.00354149,-0.00159232
0.77500000,0.00181557,-0.00103566,-0.00034394
0.77750000,0.00241353,-0.00039935,-0.00093879
0.78000000,0.00290013,-0.00186806,-0.00019634
0.78250000,0.00158584,0.00221098,-0.00415711
0.78500000,-0.00380407,-0.00150673,-0.00195775
0.78750000,0.00025074,-0.00059896,0.00117720
0.79000000,0.00240215,-0.00284128,-0.00182576
0.79250000,0.00111970,0.00145735,-0.00033328
0.79500000,0.00200028,0.00332038,0.00039859
0.79750000,0.00106850,0.00340094,-0.00211984
0.80000000,0.00179423,-0.00378310,-0.00359656
0.80250000,0.00435485,0.00164946,0.00483968
0.80500000,0.00423982,0.00244468,0.00132546
0.80750000,-0.00324627,0.00055573,0.00179672
0.81000000,0.00387744,0.00427191,0.00442104
0.81250000,-0.00181186,-0.00053176,0.00432685
0.81500000,-0.00282846,0.00402468,-0.00270022
0.81750000,0.00028339,0.00068000,0.00247171
0.82000000,-0.00124256,-0.00143052,-0.00306821
0.82250000,0.00067247,0.00104941,0.00120794
0.82500000,-0.00040650,0.00088469,-0.00145440
0.82750000,0.00245475,0.00004063,0.00259172
0.83000000,0.00084162,0.00054492,0.00229070
0.83250000,0.00127283,-0.00081116,-0.00143472
0.83500000,-0.00135795,0.00009206,-0.00017328
0.83750000,0.00002039,-0.00123188,-0.00261052
0.84000000,-0.00036370,-0.00062382,-0.00029637
0.84250000,0.00448930,-0.00496019,-0.00018356
0.84500000,-0.00224002,0.00048257,-0.00040400
0.84750000,-0.00089208,-0.00044277,-0.00166650
0.85000000,0.00561414,0.00338813,-0.00088239
0.85250000,-0.00036287,-0.00260985,0.00099407
0.85500000,0.00139558,-0.00152834,-0.00028138
0.85750000,-0.00187560,-0.00343772,-0.00376027
0.86000000,0.00055081,0.00126830,0.00174552
0.86250000,0.00115949,-0.00015082,-0.00562779
0.86500000,0.00151894,0.00275023,-0.00043740
0.86750000,0.00267974,-0.00344798,-0.00089780
0.87000000,0.00543417,0.00263943,0.00124031
0.87250000,-0.00062875,-0.00468677,0.00154220
0.87500000,0.00183070,-0.00110299,-0.00380471
0.87750000,-0.00251410,0.00021056,-0.00032725
0.88000000,-0.00241657,-0.00352572,0.00062793
0.88250000,0.00093771,0.00225332,0.00224327
0.88500000,0.00054319,0.00264292,0.00113747
0.88750000,0.00063545,0.00103050,0.00282588
0.89000000,0.00306358,-0.00119088,-0.00054657
0.89250000,0.00321365,0.00008384,-0.00051848
0.89500000,0.00104706,0.00179666,0.00120569
0.89750000,-0.00006972,-0.00031540,0.00018968
0.90000000,0.00043934,-0.00210376,0.00095423
0.90250000,-0.00365815,0.00085657,-0.00217993
0.90500000,0.00270577,0.00149939,0.00163602
0.90750000,0.00001036,-0.00072802,0.00234298
0.91000000,0.00274927,0.00536721,-0.00013642
0.91250000,-0.00070266,-0.00162962,0.00462104
0.91500000,-0.00198894,0.00354623,0.00077146
0.91750000,0.00216499,0.00348584,0.00121353
0.92000000,0.00035383,-0.00084945,-0.00333265
0.92250000,-0.00086944,-0.00109038,0.00176718
0.92500000,0.00050023,-0.00472338,-0.00122096
0.92750000,0.00290574,0.00029329,0.00096160
0.93000000,0.00043707,0.00111679,0.00071462
0.93250000,-0.00018503,0.00129589,-0.00110284
0.93500000,0.00406489,0.00190908,0.00321598
0.93750000,-0.00066596,-0.00134567,0.00106239
0.94000000,0.00143249,0.00194976,-0.00132304
0.94250000,0.00361762,-0.00345597,0.00193955
0.94500000,0.00072418,0.00034231,0.00295670
0.94750000,0.00311292,-0.00145911,0.00076024
0.95000000,-0.00047788,0.00059029,-0.00249425
0.95250000,0.00521404,-0.00239754,0.00184619
0.95500000,-0.00243803,0.00190380,-0.00259442
0.95750000,-0.00168383,0.00017717,0.00169751
0.96000000,-0.00049019,0.00202923,0.00513543
0.96250000,0.00157025,0.00136139,-0.00228920
0.96500000,0.00001977,0.00453336,0.00258535
0.96750000,-0.00252500,-0.00330369,0.00080725
0.97000000,-0.00028653,-0.00114198,0.00083724
0.97250000,0.00051731,-0.00033358,-0.00271598
0.97500000,0.00441770,-0.00182255,-0.00047853
0.97750000,0.00117365,-0.00733272,0.00098435
0.98000000,-0.00179775,-0.00073976,-0.00067585
0.98250000,-0.00055600,0.00481893,-0.00005400
0.98500000,-0.00458414,0.00075473,-0.00040433
0.98750000,0.00481833,0.00026850,-0.00180796
0.99000000,0.00269329,-0.00089087,-0.00132443
0.99250000,-0.00027442,0.00027706,0.00004328
0.99500000,-0.00221436,-0.00247977,-0.00119035
0.99750000,0.00072685,-0.00010173,0.00133321
1.00000000,0.00309121,-0.00140109,0.00278199
1.00250000,0.00172794,0.00343592,0.00160680
1.00500000,0.00219244,0.00029676,0.00356308
1.00750000,-0.00148049,-0.00022520,0.00063584
1.01000000,0.00006790,-0.00273307,-0.00238590
1.01250000,0.00492137,0.00206539,-0.00013465
1.01500000,0.00023230,0.00053014,0.00520777
1.01750000,0.00188314,0.00071094,-0.00370118
1.02000000,0.00190969,0.00125422,-0.00039642
1.02250000,0.00033770,0.00011663,-0.00184849
1.02500000,-0.00042749,0.00131140,-0.00130363
1.02750000,0.00060791,-0.00357029,-0.00249137
1.03000000,0.00408496,-0.00026055,-0.00176934
1.03250000,-0.00219713,-0.00085245,0.00013947
1.03500000,-0.00180233,0.00391779,-0.00315053
1.03750000,0.00074374,-0.00498700,-0.00223768
1.04000000,0.00234240,0.00187194,0.00067088
1.04250000,0.00160457,0.00024470,-0.00097036
1.04500000,-0.00135745,-0.00344370,0.00170242
1.04750000,0.00433329,0.00146564,-0.00150653
1.05000000,0.00252444,-0.00010867,-0.00005107
1.05250000,0.00287835,-0.00119691,0.00344362
1.05500000,-0.00071492,-0.00250372,0.00029360
1.05750000,0.00014517,-0.00249285,-0.00153806
1.06000000,0.00185194,0.00474142,-0.00139190
1.06250000,0.00502498,-0.00035013,-0.00319065
